,Tipo de accidente,Descripción del accidente
0,Colisión de vehículos,Accidente entre 3 vehículos por alcance que se encuentran ocupando el carril derecho. Ocupantes con ansiedad atendidos por el SAMUR y dados de alta en el punto.
1,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril derecho fuera de zona. 1 herido trasladado al hospital. Policía Municipal comunica al vigilante que se puede retirar del punto.
2,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril izquierdo despues de colisonar contra las barreras. 
3,Colisión de vehículos,"Accidente entre 2 vehículos por alcance que se encuentran ocupando el arcén derecho, ambos se retiran del punto por sus medios cuando llega el vigilante."
4,Salida de vía,Accidente de 1 vehículo por salida de vía que colisiona contra un muro de hormigón causando daños en él.
5,Salida de vía,Accidente de 1 vehículo por salida de vía que colisiona contra las barreras causando daños en ellas.
6,Vuelco,Accidente de 1 vehículo por vuelco que colisiona contra señales y balizamiento causandoles daños. El ocupante del vehículo no quiere ser atendido por el Samur alegando que se encuentra bien.
7,Salida de vía,"Accidente de 1 vehículo por salida de vía, este sufre un trompo y se retira del punto por sus medios antes de la llegada de los AIAM Valencia."
8,Salida de vía,"Accidente de 1 vehículo por salida de vía, este sufre una colision contra la barrera del lado derecho causando daños en ella. 1 herido trasladado al hospital por el SUMMA."
9,Salida de vía,"Accidente de 1 vehículo por salida de vía, este sufre una colision contra el muro de hormigón del lado izquierdo causando daños en él."
10,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril izquierdo hasta que Policía Municipal los retira al tablero de M. Corbera. Sin heridos.
11,Vuelco,"Accidente de 1 vehículo por salida de vía con resultado de vuelco en el carril derecho de acceso desde el ramal 05RH, este queda cortado junto con el carril derecho de la vía de servicio. 1 herido leve trasladado por el Samur al Hospital Ramon y Cajal. Con daños al patrimonio."
12,Salida de vía,Accidente de 1 vehículo por salida de vía que termina colisionando contra el muro de hormigón del lado izquierdo. Sin daños al patrimonio ni heridos. El vehículo se queda parado en el arcén derecho.
13,Salida de vía,Accidente de 1 vehículo por salida de vía hacia el jardín. Sin daños al patrimonio ni heridos. Se corta 1/4 del lado derecho del carril unico del ramal hasta que dicho vehículo es retirado por su grúa.
14,Colisión de vehículos,"Accidente entre 1 turismo y 1 autobús por alcance, se encuentran ocupando el transfer 01CC. 1 herido leve trasladado al hospital por el SUMMA."
15,Salida de vía,Corto carril izquierdo por accidente.
16,Colisión de vehículos,Señalizar vehiculos en arcen derecho.
17,Salida de vía,Acudimos con Bul y C10. la C-10 es reenviada a otro punto y esperamos el hibrido para retirar el vehicuki a Sta. M. Cabeza. No Samur
18,Colisión de vehículos,Colisión de vehiculos a la llegada solo existe el coche Golf que golpeo con Bus.
19,Salida de vía,Sale de via chocando contra muro y queda inmovil en margen arcen.
20,Colisión de vehículos,Señalizar vehiculos en carril izquierdo.
21,Colisión de vehículos,Aviso C. Control de accidente. 1 herido trasladado leve. Daños ala patrimonio. Cuando llego solo hay un vehiculo. Corto carril.
22,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, uno de ellos se dio a la fuga. 4 heridos sin pronosticar trasladados por el Samur al hospital. Con daños al patrimonio en barreras."
23,Salida de vía,"Accidente de 2 vehículos por salida de vía lateral hacía el muro de hormigon, sin daños al patrimonio. 1 herido leve dado de alta en el punto. Conservación corta el ramal."
24,Colisión de vehículos,Accidente entre 4 vehículos en el carril central. 1 herido leve y sin daños al patrimonio.
25,Salida de vía,Accidente de 1 motorista por salida de vía que resulta herido y trasladado al Hospital Concepción sin pronosticar. Con daños al patrimonio en una Bañera. Se corta el carril derecho y el transfer 07CC hasta la retirada de la motocicleta en la grúa de movilidad.
26,Colisión de vehículos,Accidente multiple en carril central. Policía saca vehiculos al ramal 12RA. Señalizo en arcen derecho.
27,Colisión de vehículos,"Aviso de C. Control de colisión por alcance an carril izquierdo cortando carril hasta que Policía los pasa al arcen derecho, cortando parte del carril derecho hasta la retirada de estos por su grua y el tercero por sus medios."
28,Colisión de vehículos,"Aviso de C. Control  de colisión por alcance de 3 vehiculos en carril izquierdo cortando carril hasta retirada de estos por grua propia. 3 herifos, 2 de ellos dados de alta y un tercero trasladado (La Paz)"
29,Colisión de vehículos,"Colisión entre coche y moto. El motorista es trasladado por Samur al Hospitak, la moto se la lleva la grua de movilidad, el coche se lo lleva la grua de su seguro.  Hay derrame de aceite. Lo quitamos con sepi9olita y desengrasante. Queda carril en buen estado."
30,Salida de vía,"Señalizar y cortar carril izquierdo del  32RA por accidente. Salida de via sin daños a patrimonio, ni heridos."
31,Colisión de vehículos,"Señalizar accidente por alcance en carril izquierdo, sin daños, ni heridos. Policía lo retira al arcen derecho y por orden de Policía lo dejo señalizado con conos en el derecho hasta su grua."
32,Colisión de vehículos,"Colisión por alcance en tre 2 vehiculos, sin daños al patrimonio, ni personales. Ambos vehiculos no necesitan de nuestr agrua, uno se retira por sus medios y el otro con grua. Somos solicitados por Policía Municipal. "
33,Colisión de vehículos,"Alcance entre vehiculos em carril central. A mi llegada solo queda uno en arcen derecho, con ayuda de Policía limpio restos em carril central."
34,Colisión de vehículos,"Aviso de C. Control de colisión por alcance de 3 vehiculos con 3 heridos leves, cortando carril derecho hasta la retriada de estos 2 por grua propia y el tercero por sus medios."
35,Colisión de vehículos,Colisión de vehiculos por alcance rn carril derecho cortando carril hasta retirada de estos 4 por sus medios y un quinto potr grua propia.
36,Salida de vía,El patrulla pierde el control choca contra mediana y queda atravesado en carriles derechos. Los dos ocupantes son trasladados por Samur (leve)
37,Vuelco,"Vuelco de vehiculo sin herdios, con daños al patrimonio. Corto ramal"
38,Salida de vía,Aviso del C. Control accidente salida de via recojo restos. Herido trasladado al Clinico. Policía no sabe nº poliza
39,Salida de vía,Señalizo sakida de via con un herido leve. Corto ramal.
40,Salida de vía,Aviso del C. Control accidente. Se da la vuelta al coche (trompo) señalizo arcen derecho.
41,Salida de vía,"Accidente de 1 vehículo por salida de vía impactando contra el hastial derecho, sin causar daños al patrimonio, 1 herido leve dado de alta en el punto por el Samur. El vehículo es cargado en la Plataforma C-10 de Base Calderón para retirarlo del punto, el Híbrido F-11 regresó a la Base de Portugal."
42,Salida de vía,"Accidente de 1 vehículo por salida de vía colisionando contra el muro de hormigón sin causarle daños. Sin heridos, la Policía Municipal retira el vehículo accidentado fuera de zona."
43,Vuelco,Accidente de 1 vehículo volcado en el ramal 04RT. Sin daños al patrimonio y 1 herido sin pronosticar trasladado al Hospital 12 de Octubre.
44,Salida de vía,"Accidente de 1 vehículo por salida de vía, este se encuentra sin ocupantes y ocupando el carril derecho. Sin heridos ni daños al patrimonio."
45,Vuelco,"Accidente de 1 vehículo volcado en el carril izquierdo, sin daños al patrimonio y 1 herido leve dado de alta en el punto por el Samur. Se limpia la calzada y el vehículo accidentado es retirado por su grúa."
46,Salida de vía,"Accidente de 1 vehículo por salida de vía, roza el muro de hormigón y se queda parado ocupando el arcén derecho. Sin daños al patrimonio ni heridos."
47,Salida de vía,"Accidente de 1 vehículo por salida de vía, este colisiona contra el muro de hormigón y se queda parado en el carril derecho. Sin daños al patrimonio ni heridos."
48,Colisión de vehículos,Colisión de vehículos con herido leve dado de alta en el lugar y sin daños en carril izquierdo. Policía le pasa a arcén derecho. Corto parte de salida de ramal.
49,Salida de vía,"Accidente de 1 vehículo por salida de vía, arrancando señal y farola, daños fuera de zona, se señaliza por seguridad. No hay ocupantes. El vigilante se retira y Policía Municipal se hace cargo de la incidencia."
50,Salida de vía,Accidente de 1 vehículo por salida de vía quedandose encima del muro de hormigón y ocupando el carril izquierdo. Se señaliza con Policía Municipal.
51,Salida de vía,Accidente de 1 vehículo por salida de vía causando daños en barreras.
52,Salida de vía,Accidente de 1 vehículo por salida de vía.
53,Vuelco,"Accidente de 1 vehículo por vuelco en el carril izquierdo, se señaliza junto con Policía Municipal."
54,Salida de vía,Accidente de 1 vehículo por salida de vía. Sin daños al patrimonio.
55,Colisión de vehículos,"Colisión de vehículos en carril central. No datos, al llegar al punto los vehículos están reanudando la marcha."
56,Salida de vía,"Accidente de 1 vehículo por salida de vía, impactando contra el bordillo del hastial derecho y dejandolo marcado."
57,Otros,"Accidente de 1 motorista por caida debido al agua en calzada al frenar, este fue trasladado por el Samur a la Clinica de Asepeyo antes de la llegada del vigilante."
58,Salida de vía,"Slida de vía de vehículo, cuando llego está policía, 1 herido trasladado, corto carril izquierdo."
59,Otros,sale por sus medios.
60,Colisión de vehículos,"Aviso del Centro de control accidente carril izquierdo, cortamos 2 carriles izquierdos, a mi llegada solo hay un vehículo."
61,Colisión de vehículos,"Colisión de vehículos sin heridos, policía lo saca fuera de zona."
62,Salida de vía,"Aviso del Centro de Contro de accidente , salida de vía, policía lo pasa al carril izquierdo."
63,Salida de vía,Salida de vía con heridos y daños a patrimonio. Corto carril izquierdo e izquierdo central. 5 heridos leves uno de ellos trasladado
64,Salida de vía,"Aviso del Centro de Control, salida de vía, policía lo pasa al arcén derecho."
65,Salida de vía,"Aviso del centro de control accidente,salida de vía, se corta ramal, usuario no está."
66,Salida de vía,"Señalizar accidente carril central, se da contra muro, lo paso al carril derecho, recojo restos."
67,Salida de vía,"Señalizo salida de vía sin heridos, daños al patrimonio,corto carril derecho, aviso a centro de control para que venga barredora, se queda conservación reparando."
68,Salida de vía,"Avisa centro de control de salida de vía, no hay nada lo ha sacado F-7."
69,Salida de vía,Vehículo se sale de vía colisionando contra muro izquierdo(no daños).
70,Salida de vía,"Encuentro coche contra la barrera, señalizo con policía. A mi llegada Samur no está."
