Fecha;Hora;Día;Nº Incidencia;sitrem;Carretera;MC30;Calzada;Localización;Enlace;Tipo de accidente;Tipo de colisión;Nº Vehículos implicados;Nº Turismos;Nº Motocicletas;Nº vehículos pesados;H.L.;hl;hg;vm;Daños al mobiliario urbano;Circulación;Estado del Firme;Presencia Recursos Externos;Corte Carril;Vertido;Grúa usuario;Grúa Propia EMESA;Grúa Movilidad;Factores Atmosféricos;Visibilidad señalización;Señalización de Peligro;Visibilidad restringida por;Aceras;Árboles;Vehículos denominación;Descripción del accidente;Daños causados al viario;Materiales utilizados;Observaciones
01/01/2016;2:10;;20160101-0002; C-E-ACC-01;M30;01NC40;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;1;1;;;No;Densa;Seco y Limpio;P. Municipal y SAMUR;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Accidente entre 3 vehículos por alcance que se encuentran ocupando el carril derecho. Ocupantes con ansiedad atendidos por el SAMUR y dados de alta en el punto.;;;Se corta el carril derecho desde las 02:20 h hasta las 03:00 h
01/01/2016;13:40;;20160101-0007;C-P-ACC-01;M30;30XC00;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;1;1;;;No;Fluida;Seco y Limpio;P. Municipal;Si;No;;No;;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril derecho fuera de zona. 1 herido trasladado al hospital. Policía Municipal comunica al vigilante que se puede retirar del punto.;;;Cuando llega el vigilante la incidencia se encuentra fuera de límites.
01/01/2016;18:45;;20160101-0012; C-E-ACC-01;A3;09TC10;ENTRADA;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;Si;Fluida;Mojado;P.M., SAMUR y Bomberos;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1 / V-2;Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril izquierdo despues de colisonar contra las barreras. ;10 Barreras y 3 CPNs;6 bolsas;Se corta el carril izquierdo desde las 18:55 h hasta las 20:15.
01/01/2016;20:02;;20160101-0013;C-P-ACC-01;M30;08NL80;INTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Mojado;;No;No;No;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente entre 2 vehículos por alcance que se encuentran ocupando el arcén derecho, ambos se retiran del punto por sus medios cuando llega el vigilante.;;;
01/01/2016;20:14;;20160101-0014;C-P-ACC-01;M30;32RJ40;EXTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;0;;;Si;Fluida;Mojado;P. Municipal;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente de 1 vehículo por salida de vía que colisiona contra un muro de hormigón causando daños en él.;7 metros de muro de hormigón dañados y desplazados.;;Se corta el carril derecho desde las 20:20 h hasta las 21:05 h.
01/01/2016;20:47;;20160101-0015;C-P-ACC-01;M30;10XL40;EXTERIOR;Tronco;Superficie;Salida de vía;;1;1;;;;0;;;Si;Fluida;Mojado;P. Municipal;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Accidente de 1 vehículo por salida de vía que colisiona contra las barreras causando daños en ellas.;5 Barreras y CPNs;;Se corta el carril derecho desde las 20:52 h hasta las 21:40 h.
01/01/2016;22:06;;20160101-0017; C-E-ACC-01;M30;23NC00;INTERIOR;Tronco;Superficie;Vuelco;;1;1;;;;0;;;Si;Fluida;Mojado;P.M., SAMUR y Bomberos;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1 / V-2;Accidente de 1 vehículo por vuelco que colisiona contra señales y balizamiento causandoles daños. El ocupante del vehículo no quiere ser atendido por el Samur alegando que se encuentra bien.;1 Bañera, 2 señales de paneles direccionales y 4 hitos;;Se corta el ramal 22RA desde las 22:17 h hasta las 23:17 h.
01/01/2016;23:21;;20160101-0018;T-P-ACC-01;M30;14NL18;INTERIOR;Tronco;Túnel;Salida de vía;;1;1;;;;0;;;No;;;;No;No;No;No;No;;;;;;;AIAM Valencia;Accidente de 1 vehículo por salida de vía, este sufre un trompo y se retira del punto por sus medios antes de la llegada de los AIAM Valencia.;;;
02/01/2016;2:01;;20160102-0002;C-P-ACC-01;M30;30XC40;EXTERIOR;Tronco;Superficie;Salida de vía;Frontal;1;1;;;;1;;;Si;Fluida;Mojado;P. Municipal y SUMMA;Si;Si;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1 / V-2;Accidente de 1 vehículo por salida de vía, este sufre una colision contra la barrera del lado derecho causando daños en ella. 1 herido trasladado al hospital por el SUMMA.;2 Barreras, 1 CPN y 1 Tubo.;Sepiolita gruesa y desengrasante;Se corta el carril derecho desde las 02:09 h hasta las 03:02 h
02/01/2016;3:07;;20160102-0003;C-P-ACC-01;M30;32RA40;INTERIOR;Ramal;Superficie;Salida de vía;Frontal;1;1;;;;0;;;Si;Fluida;Mojado;P. Municipal;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1 / V-2;Accidente de 1 vehículo por salida de vía, este sufre una colision contra el muro de hormigón del lado izquierdo causando daños en él.;12 metros de muro de hormigón;;Se corta el carril izquierdo desde las 03:07 h hasta las 04:15 h
02/01/2016;8:30;;20160102-0004;C-P-ACC-01;M30;06NL90;INTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Mojado;P. Municipal;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril izquierdo hasta que Policía Municipal los retira al tablero de M. Corbera. Sin heridos.;;;
03/01/2016;19:39;;20160103-0012;C-E-ACC-01;M30;05XL30;EXTERIOR;VS;Superficie;Vuelco;;1;1;;;1;1;;;Si;Fluida;Mojado;P.M., SAMUR y Bomberos;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1 / V-2;Accidente de 1 vehículo por salida de vía con resultado de vuelco en el carril derecho de acceso desde el ramal 05RH, este queda cortado junto con el carril derecho de la vía de servicio. 1 herido leve trasladado por el Samur al Hospital Ramon y Cajal. Con daños al patrimonio.;2 Hitos y 2 Bases;;Se realizan los cortes desde las 19:43 h hasta las 21:01 h
03/01/2016;20:15;;20160103-0014;C-P-ACC-01;M30;32RJ40;EXTERIOR;Ramal;Superficie;Salida de vía;Lateral;1;1;;;;0;;;No;Fluida;Mojado;P. Municipal;No;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-2;Accidente de 1 vehículo por salida de vía que termina colisionando contra el muro de hormigón del lado izquierdo. Sin daños al patrimonio ni heridos. El vehículo se queda parado en el arcén derecho.;;;
03/01/2016;21:19;;20160103-0015;C-P-ACC-01;M30;07RU20;EXTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;0;;;No;Fluida;Mojado;P. Municipal;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente de 1 vehículo por salida de vía hacia el jardín. Sin daños al patrimonio ni heridos. Se corta 1/4 del lado derecho del carril unico del ramal hasta que dicho vehículo es retirado por su grúa.;;;Se corta parte del carril del ramal 07RU desde las 21:28 h hasta las 21:45 h
03/01/2016;23:10;;20160103-0017;C-E-ACC-01;M30;01CC00;INTERIOR;Ramal;Superficie;Colisión de vehículos;Por alcance;2;1;;1;1;1;;;No;Fluida;Mojado;P. Municipal, P. Nacional y SUMMA;Si;No;;No;Si;Lluvia;Buena;;Sin Restricción;;;V-2;Accidente entre 1 turismo y 1 autobús por alcance, se encuentran ocupando el transfer 01CC. 1 herido leve trasladado al hospital por el SUMMA.;;;Se corta totalmente el transfer 01CC durante toda la duración de la incidencia.
04/01/2016;10:33;;20160104-0011;C-P-ACC-01;M30;32RJ30;EXTERIOR;Ramal;Superficie;Salida de vía;Lateral;1;1;;;;0;;;No;Fluida;Mojado;P. Municipal;Si;;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-2;Corto carril izquierdo por accidente.;;;
04/01/2016;20:40;;20160104-0024;C-P-ACC-01;M30;01XC20;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;;0;;;No;Densa;Mojado;P. Municipal;No;;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Señalizar vehiculos en arcen derecho.;;;
04/01/2016;20:52;;20160104-0025;T-P-ACC-01;M30;14RT19;INTERIOR;Ramal;Túnel;Salida de vía;;1;1;;;;0;;;Si;Fluida;Mojado;P. Municipal;;;;;;;Buena;;Sin Restricción;;;AIAM CALDERÓN;Acudimos con Bul y C10. la C-10 es reenviada a otro punto y esperamos el hibrido para retirar el vehicuki a Sta. M. Cabeza. No Samur;restos de pintura del vehiculo 1 y arañazo en 4 m e bordillo del hastial derecho.;;
04/01/2016;20:53;;20160104-0026;T-P-ACC-01;M30;18RN29;EXTERIOR;Ramal;Túnel;Colisión de vehículos;Por alcance;2;1;;1;;0;;;No;Densa;Mojado;P. Municipal;Si;;No;Si;No;Lluvia;Buena;;Sin Restricción;;;AIAM CALDERÓN;Colisión de vehiculos a la llegada solo existe el coche Golf que golpeo con Bus.;;;
04/01/2016;21:35;;20160104-0029;C-P-ACC-01;M30;22RE00;EXTERIOR;Ramal;Superficie;Salida de vía;Lateral;1;1;;;;0;;;No;Fluida;Mojado;P. Municipal;Si;No;;;;Lluvia;Buena;;Sin Restricción;;;V-2;Sale de via chocando contra muro y queda inmovil en margen arcen.;;;
04/01/2016;21:35;;20160104-0030;C-P-ACC-01;M30;31NC70;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;;;P. Municipal;Si;;;;;;;;;;;V-1/M-1;Señalizar vehiculos en carril izquierdo.;;;
04/01/2016;22:30;;20160104-0031;C-E-ACC-01;M30;31RA70;INTERIOR;Ramal;Superficie;Colisión de vehículos;Por alcance;2;2;;;1;1;;;Si;Fluida;Mojado;P. Municipal y SAMUR;Si;;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-2;Aviso C. Control de accidente. 1 herido trasladado leve. Daños ala patrimonio. Cuando llego solo hay un vehiculo. Corto carril.;2 barreras,1 cpn;;
05/01/2016;0:15;;20160105-0001; C-E-ACC-01;M30;31NC50;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;4;4;;;Si;Fluida;Mojado;P. Municipal y SAMUR;Si;;No;No;Si;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Accidente entre 2 vehículos por alcance, uno de ellos se dio a la fuga. 4 heridos sin pronosticar trasladados por el Samur al hospital. Con daños al patrimonio en barreras.;4 Barreras dobles y 2 CPNs;;Se corta el carril derecho desde las 00:20 h hasta las 01:15 h.
05/01/2016;0:33;;20160105-0003;C-E-ACC-01;M30;32RA40;INTERIOR;Ramal;Superficie;Salida de vía;Lateral;2;2;;;1;1;;;No;Fluida;Mojado;P. Municipal y SAMUR;Si;;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-2;Accidente de 2 vehículos por salida de vía lateral hacía el muro de hormigon, sin daños al patrimonio. 1 herido leve dado de alta en el punto. Conservación corta el ramal.;;;Se corta el ramal 32RA desde las 00:33 h hasta las 01:38 h.
05/01/2016;12:55;;20160105-0017; C-E-ACC-01;M30;10NL90;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;4;4;;;1;1;;;No;Densa;Seco y Limpio;P. Municipal y SAMUR;Si;;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Accidente entre 4 vehículos en el carril central. 1 herido leve y sin daños al patrimonio.;;;
05/01/2016;14:20;;20160105-0021;C-E-ACC-01;M30;07CC00;INTERIOR;Ramal;Superficie;Salida de vía;Frontal;1;;1;;;0;1;;Si;Congestionada;Seco y Limpio;P. Municipal y SAMUR;Si;;No;No;Si;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Accidente de 1 motorista por salida de vía que resulta herido y trasladado al Hospital Concepción sin pronosticar. Con daños al patrimonio en una Bañera. Se corta el carril derecho y el transfer 07CC hasta la retirada de la motocicleta en la grúa de movilidad.;1 Bañera;;Se corta el transfer 07CC y el carril derecho desde las 14:33 h hasta las 15:27 h 
06/01/2016;14:03;;20160106-0007;C-P-ACC-01;M30;12NL00;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;4;4;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;No;;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Accidente multiple en carril central. Policía saca vehiculos al ramal 12RA. Señalizo en arcen derecho.;;;
06/01/2016;14:18;;20160106-0008;C-P-ACC-01;M30;12XL00;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;;0;;;No;Densa;Seco y Limpio;P. Municipal;Si;;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Aviso de C. Control de colisión por alcance an carril izquierdo cortando carril hasta que Policía los pasa al arcen derecho, cortando parte del carril derecho hasta la retirada de estos por su grua y el tercero por sus medios.;;;
06/01/2016;19:35;;20160106-0019; C-E-ACC-01;M30;30NC80;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;3;3;;;No;Congestionada;Mojado;P.M., SAMUR y Bomberos;Si;;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Aviso de C. Control  de colisión por alcance de 3 vehiculos en carril izquierdo cortando carril hasta retirada de estos por grua propia. 3 herifos, 2 de ellos dados de alta y un tercero trasladado (La Paz);;;
